# netlist of hardware/synthseqr_v3.kicad_pcb
# sha256:034a75fff1ca493f  generated 2026-09-02T20:02:22Z
# 202 components, 117 nets

## components

A: 1
  A1       Adafruit Feather M4 Express     89.35     25.11  PCM_synthseqr:Adafruit_Feather_SMDheader
  LED24    MX_SK6812MINI-E             278.40     70.20  PCM_marbastlib-mx:LED_MX_6028R
  LED25    MX_SK6812MINI-E             151.72     91.29  PCM_marbastlib-mx:LED_MX_6028R
  LED26    MX_SK6812MINI-E             169.75     91.25  PCM_marbastlib-mx:LED_MX_6028R
  LED27    MX_SK6812MINI-E             187.95     91.25  PCM_marbastlib-mx:LED_MX_6028R
  LED28    MX_SK6812MINI-E             205.95     91.25  PCM_marbastlib-mx:LED_MX_6028R
  LED29    MX_SK6812MINI-E             224.03     91.25  PCM_marbastlib-mx:LED_MX_6028R
  LED30    MX_SK6812MINI-E             242.20     91.25  PCM_marbastlib-mx:LED_MX_6028R
  LED31    MX_SK6812MINI-E             260.25     91.25  PCM_marbastlib-mx:LED_MX_6028R
  LED32    MX_SK6812MINI-E             278.43     91.25  PCM_marbastlib-mx:LED_MX_6028R
  LED33    MX_SK6812MINI-E              58.96     91.03  PCM_marbastlib-mx:LED_MX_6028R
  LED34    MX_SK6812MINI-E              81.03     91.15  PCM_marbastlib-mx:LED_MX_6028R
  LED35    MX_SK6812MINI-E             103.10     91.10  PCM_marbastlib-mx:LED_MX_6028R
  LED36    MX_SK6812MINI-E             125.47     91.12  PCM_marbastlib-mx:LED_MX_6028R
NetTie_: 1
  NetTie_1 0                            42.79     72.19  NetTie:NetTie-2_SMD_Pad2.0mm
R: 10
  R1       220R                        123.01     39.91  Resistor_SMD:R_0805_2012Metric
  R2       1k                          110.61     39.91  Resistor_SMD:R_0805_2012Metric
  R3       33R                         103.22     39.91  Resistor_SMD:R_0805_2012Metric
  R4       10R                          98.12     39.91  Resistor_SMD:R_0805_2012Metric
  R5       1k                           64.37     73.65  PCM_4ms_Resistor:R_0805_2012Metric
  R6       1k                           86.00     73.63  PCM_4ms_Resistor:R_0805_2012Metric
  R7       1k                          108.31     73.63  PCM_4ms_Resistor:R_0805_2012Metric
  R8       1k                          130.40     73.63  PCM_4ms_Resistor:R_0805_2012Metric
  R9       10k                          38.40    187.89  PCM_4ms_Resistor:R_0805_2012Metric
  R37      470R                         43.28    187.92  Resistor_SMD:R_0805_2012Metric
RN: 4
  RN1      R_Pack09                     97.82    188.90  Resistor_THT:R_Array_SIP9
  RN2      R_Pack09                    232.28    189.35  Resistor_THT:R_Array_SIP9
  RN3      R_Pack09                    165.90     29.49  Resistor_THT:R_Array_SIP9
  RN4      R_Pack09                    280.10     30.44  Resistor_THT:R_Array_SIP9
RV: 16
  RV1      10k slide                    36.49    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV2      10k slide                    52.99    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV3      10k slide                    69.55    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV4      10k slide                    86.05    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV5      10k slide                   102.64    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV6      10k slide                   119.20    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV7      10k slide                   135.75    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV8      10k slide                   152.35    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV9      10k slide                   168.90    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV10     10k slide                   185.46    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV11     10k slide                   201.98    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV12     10k slide                   218.54    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV13     10k slide                   235.12    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV14     10k slide                   251.66    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV15     10k slide                   268.19    129.98  PCM_synthseqr:PS45-11PC3BR10K
  RV16     10k slide                   284.75    129.98  PCM_synthseqr:PS45-11PC3BR10K
S: 2
